Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2015;LICENCE PRO;0623957P;Artois;A09;Lille;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;128;76;40;93;82;77;97;1690;26400;21;11.1;1825;18;22;9.00;1475;2140;Artois_18;disc15_18;BWbvP
2015;LICENCE PRO;0623957P;Artois;A09;Lille;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;19;72;6;ns;ns;ns;ns;ns;ns;21;11.1;1825;ns;ns;;1475;2140;Artois_30;disc16_30;BWbvP
2015;LICENCE PRO;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;180;72;31;94;32;66;99;1400;21800;30;7.6;1825;2;22;66.00;1460;2180;Clermont Auvergne_18;disc01_18;FvH4k
2015;LICENCE PRO;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;76;82;11;86;58;65;86;1470;22900;30;7.6;1825;10;46;68.00;1460;2180;Clermont Auvergne_30;disc07_30;FvH4k
2015;LICENCE PRO;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;26;84;4;ns;ns;ns;ns;ns;ns;30;7.6;1825;ns;ns;;1460;2180;Clermont Auvergne_30;disc10_30;FvH4k
2015;LICENCE PRO;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;71;73;12;90;75;64;98;1400;21800;30;7.6;1825;1;63;63.00;1460;2180;Clermont Auvergne_30;disc13_30;FvH4k
2015;LICENCE PRO;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;33;88;5;88;ns;ns;ns;ns;ns;30;7.6;1825;ns;ns;21.00;1460;2180;Clermont Auvergne_18;disc14_18;FvH4k
2015;LICENCE PRO;0632035V;Clermont Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;18;85;3;ns;ns;ns;ns;ns;ns;30;7.6;1825;ns;ns;;1460;2180;Clermont Auvergne_18;disc17_18;FvH4k
2015;LICENCE PRO;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;16;88;5;ns;ns;ns;ns;ns;ns;17;8.4;1750;ns;ns;;1390;2060;Pau - Pays de l'Adour_18;disc10_18;Mz286
2015;LICENCE PRO;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;16;88;5;ns;ns;ns;ns;ns;ns;17;8.4;1750;ns;ns;;1390;2060;Pau - Pays de l'Adour_30;disc10_30;Mz286
2015;LICENCE PRO;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;82;84;28;93;63;65;99;1590;24800;17;8.4;1750;8;38;13.00;1390;2060;Pau - Pays de l'Adour_18;disc15_18;Mz286
2015;LICENCE PRO;0660437S;Perpignan - Via Domitia;A11;Montpellier;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;49;56;38;88;34;47;91;1400;21800;30;10.5;1770;4;47;73.00;1400;2110;Perpignan - Via Domitia_18;disc01_18;n1W55
2015;LICENCE PRO;0660437S;Perpignan - Via Domitia;A11;Montpellier;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;18;58;13;ns;ns;ns;ns;ns;ns;30;10.5;1770;ns;ns;;1400;2110;Perpignan - Via Domitia_30;disc02_30;n1W55
2015;LICENCE PRO;0660437S;Perpignan - Via Domitia;A11;Montpellier;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;26;53;21;ns;ns;ns;ns;ns;ns;30;10.5;1770;ns;ns;;1400;2110;Perpignan - Via Domitia_18;disc04_18;n1W55
2015;LICENCE PRO;0660437S;Perpignan - Via Domitia;A11;Montpellier;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;26;53;21;ns;ns;ns;ns;ns;ns;30;10.5;1770;ns;ns;;1400;2110;Perpignan - Via Domitia_30;disc04_30;n1W55
2015;LICENCE PRO;0660437S;Perpignan - Via Domitia;A11;Montpellier;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;21;55;16;ns;ns;ns;ns;ns;ns;30;10.5;1770;ns;ns;;1400;2110;Perpignan - Via Domitia_18;disc07_18;n1W55
2015;LICENCE PRO;0660437S;Perpignan - Via Domitia;A11;Montpellier;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;13;56;10;ns;ns;ns;ns;ns;ns;30;10.5;1770;ns;ns;;1400;2110;Perpignan - Via Domitia_18;disc11_18;n1W55
2015;LICENCE PRO;0660437S;Perpignan - Via Domitia;A11;Montpellier;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;3;40;2;ns;ns;ns;ns;ns;ns;30;10.5;1770;ns;ns;;1400;2110;Perpignan - Via Domitia_18;disc16_18;n1W55
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;5;79;2;ns;ns;ns;ns;ns;ns;11;8.6;1800;ns;ns;;1430;2120;Strasbourg_18;disc02_18;4k25D
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;63;71;21;100;41;90;98;1670;26100;11;8.6;1800;9;15;61.00;1430;2120;Strasbourg_30;disc04_30;4k25D
