Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant, chef d’entreprise;Fonctionnaire;statut_cdi;statut_conspe;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d'etat, territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Un particulier;Agriculture, sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Personnel de catégorie A de la fonction publique;Ingénieur, cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service;Taux d’insertion;% emplois extérieurs à la région de l’université
2013;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie du conditionnement et de l'emballage;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GCE;Génie du conditionnement et de l'emballage;0;nd;nd;nd;nd;nd;nd;nd;nd;nd;;9.9;1870;;1490;2280;GCE_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nd;nd
2014;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie du conditionnement et de l'emballage;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GCE;Génie du conditionnement et de l'emballage;3;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;GCE_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2014;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie du conditionnement et de l'emballage;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GCE;Génie du conditionnement et de l'emballage;3;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;GCE_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2016;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GCGP;Génie chimique - Génie des procédés;23;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;8.5;1830;;1450;2180;GCGP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2016;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GCGP;Génie chimique - Génie des procédés;16;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;;1450;2180;GCGP_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2013;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GCGP;Génie chimique - Génie des procédés;16;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;GCGP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2013;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GCGP;Génie chimique - Génie des procédés;9;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;GCGP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2015;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Gestion des entreprises et administrations;DEG;Droit, économie et gestion;disc04;Gestion;GEA;Gestion des entreprises et administrations;158;25;2;66;87;1310;20400;1200;1500;50;;8.6;1865;;1475;2280;GEA_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;24
2016;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Gestion des entreprises et administrations;DEG;Droit, économie et gestion;disc04;Gestion;GEA;Gestion des entreprises et administrations;250;33;4;70;94;1500;23400;1300;1700;50;62;8.5;1830;;1450;2180;GEA_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;21
2016;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Gestion des entreprises et administrations;DEG;Droit, économie et gestion;disc04;Gestion;GEA;Gestion des entreprises et administrations;149;19;1;59;94;1350;21100;1200;1530;53;;8.5;1830;;1450;2180;GEA_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;24
